"Channel 1_x","Channel 1_y","Channel 2_x","Channel 2_y","Channel 3_x","Channel 3_y"
6.294250488e-05,23.98,1.66943121,20.51,3.338111877,19.95,
5.006178141,23.96,6.675534487,20.51,8.344760656,19.95,
10.01356006,23.96,11.6821053,20.51,13.35410333,19.96,
15.02218318,23.97,16.69010425,20.51,18.35810304,19.96,
20.02617645,23.97,21.69410896,20.51,23.36210632,19.96,
25.03018022,23.96,26.69936776,20.51,28.36884332,19.96,
30.0381465,23.96,31.70745158,20.51,33.37729359,19.96,
35.04617906,23.96,36.71410537,20.51,38.38339019,19.97,
40.05258107,23.96,41.72210526,20.51,43.39009857,19.98,
45.05818439,23.96,46.72745609,20.51,48.39629102,19.98,
50.0651238,23.96,51.73446274,20.5,53.40389395,19.98,
55.07256436,23.96,56.74174881,20.5,58.41010761,19.98,
60.07817769,23.95,61.74610829,20.51,63.41410398,19.98,
65.08217716,23.95,66.75010705,20.51,68.41810203,19.98,
70.08618879,23.96,71.75410652,20.51,73.42210603,19.99,
75.09153032,23.97,76.76092625,20.51,78.43010521,19.99,
80.09940076,23.97,81.77010632,20.51,83.43810368,19.99,
85.11124206,23.95,86.77960539,20.51,88.44858098,19.99,
90.11769724,23.95,91.78607011,20.51,93.45410395,19.99,
95.1269021,23.96,96.79590678,20.51,98.46451616,19.99,
100.1353157,23.96,101.8042431,20.5,103.4730794,20,
105.141768,23.96,106.8101065,20.5,108.4794283,20,
110.1502018,23.95,111.8181102,20.51,113.4861078,20,
115.1541684,23.95,116.8221035,20.51,118.4901035,20,
120.1581788,23.96,121.826107,20.51,123.4955385,20,
125.1639795,23.96,126.83201,20.51,128.5008919,20,
130.1693025,23.96,131.8381033,20.51,133.5061054,20,
135.1741779,23.96,136.8421087,20.51,138.5101066,20,
140.1781664,23.98,141.846103,20.51,143.5141034,20,
145.182173,23.98,146.8501096,20.51,148.5181057,20,
150.1861696,23.98,151.8541021,20.51,153.5221095,20.01,
155.1901767,23.98,156.8581047,20.51,158.5261078,20.01,
160.1941712,23.97,161.8621073,20.51,163.5315862,20.01,
165.2010367,23.97,166.8701043,20.51,168.5381052,20.01,
170.2077265,23.97,171.8767762,20.51,173.5460024,20.01,
175.2159493,23.97,176.8856063,20.51,178.5541077,20.01,
180.2221761,23.97,181.8915589,20.51,183.5614262,20.01,
185.2301738,23.97,186.8981061,20.51,188.5680034,20.01,
190.2376816,23.97,191.9061153,20.51,193.5741055,20.01,
195.2435269,23.97,196.9131978,20.51,198.5821068,20.01,
200.2501786,23.97,201.9181027,20.51,203.5861046,20.01,
205.2541828,23.97,206.9221065,20.51,208.5901046,20.01,
210.259618,23.96,211.9284439,20.51,213.5973063,20.01,
215.2655027,23.95,216.9335258,20.51,218.6021087,20,
220.270185,23.95,221.9381013,20.5,223.6061068,20,
225.2741818,23.97,226.9421086,20.5,228.6101058,20.01,
230.2781777,23.97,231.946104,20.51,233.6141074,20.01,
235.2821803,23.97,236.9501095,20.51,238.6181078,20.01,
240.2861838,23.97,241.9541059,20.51,243.6221044,20.01,
245.290174,23.97,246.9581087,20.51,248.6273718,20.01,
250.2961779,23.96,251.9661067,20.51,253.635725,20.01,
255.3046384,23.96,256.9741035,20.51,258.6421087,20.01,
260.3101819,23.96,261.9781036,20.51,263.6463795,20.01,
265.3158164,23.96,266.9848516,20.51,268.6541071,20.01,
270.3221805,23.96,271.9901083,20.51,273.6581018,20.01,
275.3261337,23.96,276.9953799,20.51,278.6645212,20.01,
280.3337176,23.96,282.0021048,20.51,283.6701031,20.01,
285.3381774,23.96,287.0061007,20.51,288.6741054,20.01,
290.3435879,23.96,292.0126982,20.51,293.6809983,20.01,
295.3498335,23.98,297.0181019,20.51,298.6852136,20.01,
300.3532851,23.98,302.021811,20.51,303.6900694,20.01,
305.3581765,23.98,307.0261061,20.51,308.6941044,20.01,
310.3621769,23.98,312.0301087,20.51,313.6981049,20.01,
315.3661795,23.97,317.0341096,20.51,318.7021041,20.01,
320.3714631,23.97,322.0411603,20.51,323.7097523,20.01,
325.3781817,23.97,327.0461056,20.51,328.7141061,20.01,
330.3821862,23.97,332.0501046,20.51,333.7181044,20.01,
335.3861802,23.97,337.0541072,20.51,338.7221038,20.01,
340.3901987,23.97,342.0598743,20.51,343.7290635,20.01,
345.397903,23.97,347.066169,20.51,348.7341118,20.01,
350.4021909,23.97,352.0701025,20.51,353.7381084,20.01,
355.406177,23.97,357.0741088,20.5,358.7421052,20.01,
360.4101756,23.97,362.0781038,20.5,363.746114,20.01,
365.4141881,23.97,367.0821044,20.51,368.7501128,20.01,
